iso3,region,EPI.new,HLT.new,AIR.new,H2O.new,HMT.new,WMG.new,ECO.new,BDH.new,ECS.new,FSH.new,CCH.new,APE.new,AGR.new,WRS.new
ETH,Sub-Saharan Africa,34.4,25.2,38.0,10.9,35.8,0.0,40.6,72.2,42.2,,26.1,23.6,53.3,0.0
FIN,Global West,78.9,99.3,98.8,100.0,100.0,97.7,65.3,75.5,20.8,12.8,77.0,93.1,52.4,100.0
FJI,Asia-Pacific,34.4,34.7,30.0,34.6,77.0,40.0,34.2,25.1,38.1,59.7,36.9,53.2,11.1,3.9
FRA,Global West,80.0,91.5,88.1,96.2,84.0,94.8,72.3,88.3,36.1,12.1,81.9,100.0,65.2,88.0
FSM,Asia-Pacific,33.0,30.8,29.0,35.5,41.5,0.0,34.5,6.9,100.0,32.7,39.0,58.8,19.4,0.1
GAB,Sub-Saharan Africa,45.8,27.9,28.2,27.6,54.1,0.0,57.8,86.0,44.7,7.3,63.8,90.2,20.6,0.0
GBR,Global West,81.3,91.7,84.7,100.0,94.6,92.9,74.3,88.0,28.3,8.8,90.0,100.0,54.3,98.5
GEO,Former Soviet States,41.3,38.7,31.1,51.6,49.9,0.0,43.1,46.2,78.0,4.4,50.1,0.9,16.9,46.6
GHA,Sub-Saharan Africa,27.6,20.1,18.0,20.8,55.3,0.0,32.6,58.9,15.4,9.0,29.6,31.5,41.0,0.0
GIN,Sub-Saharan Africa,26.4,18.6,24.7,11.2,32.9,2.5,31.5,59.9,11.5,14.4,26.8,30.0,35.0,0.0
GMB,Sub-Saharan Africa,27.9,21.4,23.9,19.1,37.1,0.0,32.1,32.6,41.1,10.6,35.8,53.9,36.1,0.1
GNB,Sub-Saharan Africa,29.1,15.1,22.1,6.7,28.5,0.0,38.4,72.2,22.1,5.2,33.6,56.1,27.5,0.0
GNQ,Sub-Saharan Africa,38.1,27.6,24.6,33.1,40.1,0.0,45.1,66.0,33.7,14.3,46.1,76.4,28.1,1.2
GRC,Eastern Europe,69.1,80.6,67.5,98.2,69.4,83.0,61.4,72.6,43.9,15.7,66.5,78.9,52.6,81.7
GRD,Latin America & Caribbean,43.1,46.3,42.9,47.0,41.9,78.8,40.9,31.5,43.6,15.8,59.0,40.0,28.9,0.9
GTM,Latin America & Caribbean,31.8,30.8,34.3,28.2,30.6,16.6,32.5,41.3,19.5,15.4,36.7,44.8,28.7,6.8
GUY,Latin America & Caribbean,35.9,33.5,31.9,35.3,24.9,44.2,37.5,51.0,52.3,7.7,38.2,28.6,40.2,0.0
HND,Latin America & Caribbean,37.8,33.4,35.4,31.8,20.7,40.3,40.7,59.9,21.2,17.6,43.1,60.9,27.5,3.1
HRV,Eastern Europe,63.1,61.2,50.8,70.2,75.1,80.0,64.3,82.6,40.3,11.8,70.0,90.8,65.4,51.7
HTI,Latin America & Caribbean,27.0,21.8,31.1,14.0,12.1,0.9,30.5,34.5,26.2,16.7,37.0,23.8,31.4,0.0
HUN,Eastern Europe,63.7,54.1,42.8,62.2,68.2,89.2,70.0,82.0,28.2,,71.3,96.9,73.1,53.8
IDN,Asia-Pacific,37.8,29.0,26.8,28.4,34.6,49.8,43.7,56.3,20.3,11.9,54.4,40.4,51.8,0.0
IND,Southern Asia,27.6,16.3,13.4,19.4,21.0,16.1,35.2,33.7,33.8,16.9,45.0,37.1,34.7,2.2
IRL,Global West,72.8,94.2,94.0,97.4,82.7,81.7,58.6,65.8,27.4,9.1,66.6,100.0,47.3,89.7
IRN,Greater Middle East,48.0,48.3,49.2,53.6,27.4,19.0,47.8,38.4,88.8,13.8,55.0,80.8,33.8,3.7
IRQ,Greater Middle East,39.5,39.5,36.3,49.6,29.6,0.0,39.4,40.5,91.8,,31.6,14.1,37.4,19.5
ISL,Global West,72.3,98.1,98.1,100.0,96.1,84.8,55.0,63.2,100.0,10.1,60.8,44.4,18.5,15.6
ISR,Greater Middle East,65.8,83.6,76.5,92.8,92.1,72.2,54.0,47.6,40.6,45.5,56.9,97.8,34.9,81.7
ITA,Global West,71.0,85.5,75.9,98.2,81.5,83.7,61.3,75.6,37.9,14.9,68.1,81.4,56.8,58.8
JAM,Latin America & Caribbean,48.2,45.5,43.6,49.3,48.9,31.7,50.0,58.2,35.2,4.7,65.7,78.6,22.4,3.0
JOR,Greater Middle East,53.4,58.6,58.0,62.6,46.7,43.1,49.9,32.2,78.9,,58.4,69.0,25.0,18.6
JPN,Asia-Pacific,75.1,90.3,85.9,95.0,100.0,86.5,65.1,76.6,41.7,35.2,69.5,77.7,55.9,75.3
KAZ,Former Soviet States,44.7,40.8,32.0,55.1,52.8,2.2,47.3,41.6,68.4,,44.6,75.2,45.6,28.6
KEN,Sub-Saharan Africa,34.7,25.7,34.9,13.6,50.6,5.5,40.6,53.5,31.1,8.6,49.0,36.8,35.9,0.5
KGZ,Former Soviet States,39.8,33.7,27.0,45.5,40.8,0.0,43.8,39.2,91.1,,42.5,18.1,52.4,0.2
KHM,Asia-Pacific,33.6,30.5,30.1,34.2,35.0,0.0,35.6,60.1,19.0,11.3,30.9,45.4,59.0,0.0
KIR,Asia-Pacific,37.7,22.9,29.2,16.3,37.0,0.0,47.5,82.1,,55.4,32.2,49.9,26.5,0.0
KOR,Asia-Pacific,66.5,81.4,71.7,90.7,89.4,96.7,56.6,62.6,32.2,12.6,62.6,100.0,51.7,76.8
KWT,Greater Middle East,53.6,57.3,55.0,67.4,56.8,0.0,51.2,66.0,48.4,14.9,49.7,81.7,44.9,43.1
LAO,Asia-Pacific,34.8,27.2,27.8,26.5,34.7,18.7,39.9,69.7,16.6,,30.7,21.3,69.2,0.0
LBN,Greater Middle East,45.4,53.1,47.8,59.7,43.6,61.4,40.3,21.8,36.6,14.2,56.8,67.1,34.1,38.2
LBR,Sub-Saharan Africa,22.6,21.3,30.9,9.8,37.3,0.0,23.6,32.6,14.6,10.6,24.9,32.7,26.2,0.0
